fecha,jornada,equipo_local,equipo_visitante
,31,Sportivo Dock Sud,Camioneros
,31,Ituzaingó,Deportivo Merlo
,32,Deportivo Merlo,Sportivo Dock Sud
,32,Camioneros,Comunicaciones
,32,Sportivo Italiano,Defensores Unidos
,32,San Martín Burzaco,Argentino Quilmes
,32,Villa San Carlos,Flandria
,32,Liniers,Deportivo Armenio
,32,Real Pilar,Brown de Adrogué
,32,UAI Urquiza,Deportivo Laferrere
,32,Villa Dalmine,Talleres RE
,32,Excursionistas,Argentino Merlo
,32,Arsenal de Sarandí,Ituzaingó
,33,Arsenal de Sarandí,Excursionistas
,33,Argentino Merlo,Villa Dalmine
,33,Talleres RE,UAI Urquiza
,33,Deportivo Laferrere,Real Pilar
,33,Brown de Adrogué,Liniers
,33,Deportivo Armenio,Villa San Carlos
,33,Flandria,San Martín Burzaco
,33,Argentino Quilmes,Sportivo Italiano
,33,Defensores Unidos,Camioneros
,33,Comunicaciones,Deportivo Merlo
,33,Ituzaingó,Sportivo Dock Sud
,34,Sportivo Dock Sud,Comunicaciones
,34,Deportivo Merlo,Defensores Unidos
,34,Camioneros,Argentino Quilmes
,34,Sportivo Italiano,Flandria
,34,San Martín Burzaco,Deportivo Armenio
,34,Villa San Carlos,Brown de Adrogué
,34,Liniers,Deportivo Laferrere
,34,Real Pilar,Talleres RE
,34,UAI Urquiza,Argentino Merlo
,34,Villa Dalmine,Arsenal de Sarandí
,34,Excursionistas,Ituzaingó
,35,Deportivo Laferrere,Villa San Carlos
,35,Brown de Adrogué,San Martín Burzaco
,35,Deportivo Armenio,Sportivo Italiano
,35,Flandria,Camioneros
,35,Argentino Quilmes,Deportivo Merlo
,35,Defensores Unidos,Sportivo Dock Sud
,35,Ituzaingó,Comunicaciones
,35,Excursionistas,Villa Dalmine
,35,Arsenal de Sarandí,UAI Urquiza
,35,Argentino Merlo,Real Pilar
,35,Talleres RE,Liniers
,36,Comunicaciones,Defensores Unidos
,36,Sportivo Dock Sud,Argentino Quilmes
,36,Camioneros,Deportivo Armenio
,36,Deportivo Merlo,Flandria
,36,Sportivo Italiano,Brown de Adrogué
,36,Villa San Carlos,Talleres RE
,36,Liniers,Argentino Merlo
,36,San Martín Burzaco,Deportivo Laferrere
,36,Real Pilar,Arsenal de Sarandí
,36,UAI Urquiza,Excursionistas
,36,Villa Dalmine,Ituzaingó
,37,Villa Dalmine,UAI Urquiza
,37,Excursionistas,Real Pilar
,37,Argentino Merlo,Villa San Carlos
,37,Arsenal de Sarandí,Liniers
,37,Talleres RE,San Martín Burzaco
,37,Deportivo Laferrere,Sportivo Italiano
,37,Brown de Adrogué,Camioneros
,37,Deportivo Armenio,Deportivo Merlo
,37,Flandria,Sportivo Dock Sud
,37,Argentino Quilmes,Comunicaciones
,37,Ituzaingó,Defensores Unidos
,38,Defensores Unidos,Argentino Quilmes
,38,Comunicaciones,Flandria
,38,Deportivo Merlo,Brown de Adrogué
,38,Sportivo Dock Sud,Deportivo Armenio
,38,Camioneros,Deportivo Laferrere
,38,Sportivo Italiano,Talleres RE
,38,San Martín Burzaco,Argentino Merlo
,38,Villa San Carlos,Arsenal de Sarandí
,38,Liniers,Excursionistas
,38,Real Pilar,Villa Dalmine
,38,UAI Urquiza,Ituzaingó
,39,Villa Dalmine,Liniers
,39,UAI Urquiza,Real Pilar
,39,Excursionistas,Villa San Carlos
,39,Argentino Merlo,Sportivo Italiano
,39,Talleres RE,Camioneros
,39,Arsenal de Sarandí,San Martín Burzaco
,39,Deportivo Laferrere,Deportivo Merlo
,39,Brown de Adrogué,Sportivo Dock Sud
,39,Flandria,Defensores Unidos
,39,Deportivo Armenio,Comunicaciones
,39,Ituzaingó,Argentino Quilmes
,40,Argentino Quilmes,Flandria
,40,Defensores Unidos,Deportivo Armenio
,40,Comunicaciones,Brown de Adrogué
,40,Sportivo Dock Sud,Deportivo Laferrere
,40,Sportivo Italiano,Arsenal de Sarandí
,40,Camioneros,Argentino Merlo
,40,Deportivo Merlo,Talleres RE
,40,San Martín Burzaco,Excursionistas
,40,Villa San Carlos,Villa Dalmine
,40,Real Pilar,Ituzaingó
,40,Liniers,UAI Urquiza
,41,Real Pilar,Liniers
,41,Villa Dalmine,San Martín Burzaco
,41,UAI Urquiza,Villa San Carlos
,41,Excursionistas,Sportivo Italiano
,41,Arsenal de Sarandí,Camioneros
,41,Argentino Merlo,Deportivo Merlo
,41,Deportivo Laferrere,Comunicaciones
,41,Brown de Adrogué,Defensores Unidos
,41,Talleres RE,Sportivo Dock Sud
,41,Deportivo Armenio,Argentino Quilmes
,41,Ituzaingó,Flandria
