fecha,jornada,equipo_local,equipo_visitante
,13,Deportivo Argentino,FADEP
,13,Deportivo Rincón,Huracán Las Heras
,14,Juventud Unida Universitario,Cipolletti
,14,FADEP,Costa Brava
,14,AC San Martín,Atenas
,14,Huracán Las Heras,Deportivo Argentino
,15,Cipolletti,FADEP
,15,Juventud Unida Universitario,AC San Martín
,15,Costa Brava,Huracán Las Heras
,15,Atenas,Deportivo Rincón
,16,AC San Martín,Cipolletti
,16,Huracán Las Heras,FADEP
,16,Deportivo Rincón,Juventud Unida Universitario
,16,Deportivo Argentino,Atenas
,17,Cipolletti,Huracán Las Heras
,17,AC San Martín,Deportivo Rincón
,17,Juventud Unida Universitario,Deportivo Argentino
,17,Costa Brava,Atenas
,18,Deportivo Rincón,Cipolletti
,18,Deportivo Argentino,AC San Martín
,18,Atenas,FADEP
,18,Costa Brava,Juventud Unida Universitario
,1,Guillermo Brown,Kimberley
,1,Sol de Mayo,Alvarado
,1,Olimpo,Círculo Deportivo
,1,Villa Mitre,Santamarina
,2,Kimberley,Germinal
,2,Círculo Deportivo,Guillermo Brown
,2,Santamarina,Sol de Mayo
,2,Villa Mitre,Olimpo
,3,Germinal,Alvarado
,3,Kimberley,Círculo Deportivo
,3,Guillermo Brown,Villa Mitre
,3,Sol de Mayo,Olimpo
,4,Círculo Deportivo,Germinal
,4,Santamarina,Alvarado
,4,Villa Mitre,Kimberley
,4,Sol de Mayo,Guillermo Brown
,5,Germinal,Santamarina
,5,Círculo Deportivo,Villa Mitre
,5,Alvarado,Olimpo
,5,Kimberley,Sol de Mayo
,6,Villa Mitre,Germinal
,6,Olimpo,Santamarina
,6,Sol de Mayo,Círculo Deportivo
,6,Guillermo Brown,Alvarado
,7,Germinal,Olimpo
,7,Villa Mitre,Sol de Mayo
,7,Santamarina,Guillermo Brown
,7,Alvarado,Kimberley
,8,Sol de Mayo,Germinal
,8,Guillermo Brown,Olimpo
,8,Kimberley,Santamarina
,8,Alvarado,Círculo Deportivo
,9,Germinal,Guillermo Brown
,9,Olimpo,Kimberley
,9,Villa Mitre,Alvarado
,9,Santamarina,Círculo Deportivo
,10,Kimberley,Guillermo Brown
,10,Alvarado,Sol de Mayo
,10,Círculo Deportivo,Olimpo
,10,Santamarina,Villa Mitre
,11,Germinal,Kimberley
,11,Guillermo Brown,Círculo Deportivo
,11,Sol de Mayo,Santamarina
,11,Olimpo,Villa Mitre
,12,Alvarado,Germinal
,12,Círculo Deportivo,Kimberley
,12,Villa Mitre,Guillermo Brown
,12,Olimpo,Sol de Mayo
,13,Germinal,Círculo Deportivo
,13,Alvarado,Santamarina
,13,Kimberley,Villa Mitre
,13,Guillermo Brown,Sol de Mayo
,14,Santamarina,Germinal
,14,Villa Mitre,Círculo Deportivo
,14,Olimpo,Alvarado
,14,Sol de Mayo,Kimberley
,15,Germinal,Villa Mitre
,15,Santamarina,Olimpo
,15,Círculo Deportivo,Sol de Mayo
,15,Alvarado,Guillermo Brown
,16,Olimpo,Germinal
,16,Sol de Mayo,Villa Mitre
,16,Guillermo Brown,Santamarina
,16,Kimberley,Alvarado
,17,Germinal,Sol de Mayo
,17,Olimpo,Guillermo Brown
,17,Santamarina,Kimberley
,17,Círculo Deportivo,Alvarado
,18,Guillermo Brown,Germinal
,18,Kimberley,Olimpo
,18,Alvarado,Villa Mitre
,18,Círculo Deportivo,Santamarina
