fecha,jornada,equipo_local,equipo_visitante
,15,Internacional de Bogotá,Fortaleza FC
,15,Cúcuta Deportivo,Atlético Nacional
,16,Independiente Santa Fe,Millonarios
,16,América de Cali,Cúcuta Deportivo
,16,Boyacá Chicó,Atlético Bucaramanga
,16,Alianza FC,Internacional de Bogotá
,16,Junior FC,Águilas Doradas
,16,Once Caldas,Deportivo Pereira
,16,Fortaleza FC,Deportivo Cali
,16,Jaguares de Córdoba,Llaneros FC
,16,Atlético Nacional,Independiente Medellín
,16,Deportes Tolima,Deportivo Pasto
,17,Llaneros FC,Junior FC
,17,Deportivo Pasto,Jaguares de Córdoba
,17,Atlético Bucaramanga,Atlético Nacional
,17,Millonarios,América de Cali
,17,Águilas Doradas,Fortaleza FC
,17,Deportivo Pereira,Deportes Tolima
,17,Internacional de Bogotá,Once Caldas
,17,Independiente Medellín,Alianza FC
,17,Deportivo Cali,Boyacá Chicó
,17,Cúcuta Deportivo,Independiente Santa Fe
,18,Fortaleza FC,Independiente Medellín
,18,Once Caldas,Águilas Doradas
,18,Deportes Tolima,Millonarios
,18,Alianza FC,Llaneros FC
,18,Independiente Santa Fe,Deportivo Pasto
,18,América de Cali,Deportivo Cali
,18,Boyacá Chicó,Internacional de Bogotá
,18,Jaguares de Córdoba,Atlético Bucaramanga
,18,Junior FC,Cúcuta Deportivo
,18,Atlético Nacional,Deportivo Pereira
,19,Deportivo Pereira,América de Cali
,19,Deportivo Pasto,Junior FC
,19,Deportivo Cali,Deportes Tolima
,19,Atlético Bucaramanga,Fortaleza FC
,19,Llaneros FC,Boyacá Chicó
,19,Cúcuta Deportivo,Jaguares de Córdoba
,19,Millonarios,Alianza FC
,19,Internacional de Bogotá,Independiente Santa Fe
,19,Águilas Doradas,Independiente Medellín
,19,Atlético Nacional,Once Caldas
