fecha,jornada,equipo_local,equipo_visitante
,26,Chaco For Ever,Los Andes
,26,Acassuso,Godoy Cruz
,26,San Telmo,Morón
,26,San Miguel,Colón
,26,Patronato,Gimnasia (J)
,26,Almagro,Colegiales
,26,Maipú,Quilmes
,26,Temperley,Midland
,26,Chicago,Atlanta
,26,San Martín,Gimnasia y Tiro
,26,Chacarita,San Martín (T)
,26,Güemes,Atlético Rafaela
,26,Tristan Suárez,Agropecuario
,27,Racing (Cba),Colón
,27,Morón,San Miguel
,27,Godoy Cruz,San Telmo
,27,Los Andes,Acassuso
,27,All Boys,Chaco For Ever
,27,Estudiantes (Caseros),Ferro
,27,CA Mitre,Central Norte
,27,Alte. Brown,Dep. Madryn
,27,Bolivar,Defensores
,27,Gimnasia (J),Agropecuario
,27,Atlético Rafaela,Tristan Suárez
,27,San Martín (T),Güemes
,27,Gimnasia y Tiro,Chacarita
,27,Atlanta,San Martín
,27,Midland,Chicago
,27,Quilmes,Temperley
,27,Colegiales,Maipú
,27,Patronato,Almagro
,28,Defensores,Racing (Cba)
,28,Dep. Madryn,Bolivar
,28,Central Norte,Alte. Brown
,28,Ferro,CA Mitre
,28,Chaco For Ever,Estudiantes (Caseros)
,28,Acassuso,All Boys
,28,San Telmo,Los Andes
,28,San Miguel,Godoy Cruz
,28,Colón,Morón
,28,Almagro,Gimnasia (J)
,28,Maipú,Patronato
,28,Temperley,Colegiales
,28,Chicago,Quilmes
,28,San Martín,Midland
,28,Chacarita,Atlanta
,28,Güemes,Gimnasia y Tiro
,28,Tristan Suárez,San Martín (T)
,28,Agropecuario,Atlético Rafaela
,29,Racing (Cba),Morón
,29,Godoy Cruz,Colón
,29,Los Andes,San Miguel
,29,All Boys,San Telmo
,29,Estudiantes (Caseros),Acassuso
,29,CA Mitre,Chaco For Ever
,29,Alte. Brown,Ferro
,29,Bolivar,Central Norte
,29,Defensores,Dep. Madryn
,29,Gimnasia (J),Atlético Rafaela
,29,San Martín (T),Agropecuario
,29,Gimnasia y Tiro,Tristan Suárez
,29,Atlanta,Güemes
,29,Midland,Chacarita
,29,Quilmes,San Martín
,29,Colegiales,Chicago
,29,Patronato,Temperley
,29,Almagro,Maipú
,30,Dep. Madryn,Racing (Cba)
,30,Central Norte,Defensores
,30,Ferro,Bolivar
,30,Chaco For Ever,Alte. Brown
,30,Acassuso,CA Mitre
,30,San Telmo,Estudiantes (Caseros)
,30,San Miguel,All Boys
,30,Colón,Los Andes
,30,Morón,Godoy Cruz
,30,Maipú,Gimnasia (J)
,30,Temperley,Almagro
,30,Chicago,Patronato
,30,San Martín,Colegiales
,30,Chacarita,Quilmes
,30,Güemes,Midland
,30,Tristan Suárez,Atlanta
,30,Agropecuario,Gimnasia y Tiro
,30,Atlético Rafaela,San Martín (T)
,31,Racing (Cba),Godoy Cruz
,31,Los Andes,Morón
,31,All Boys,Colón
,31,Estudiantes (Caseros),San Miguel
,31,CA Mitre,San Telmo
,31,Alte. Brown,Acassuso
,31,Bolivar,Chaco For Ever
,31,Defensores,Ferro
,31,Dep. Madryn,Central Norte
,31,Gimnasia (J),San Martín (T)
,31,Gimnasia y Tiro,Atlético Rafaela
,31,Atlanta,Agropecuario
,31,Midland,Tristan Suárez
,31,Quilmes,Güemes
,31,Colegiales,Chacarita
,31,Patronato,San Martín
,31,Almagro,Chicago
,31,Maipú,Temperley
,32,Central Norte,Racing (Cba)
,32,Ferro,Dep. Madryn
,32,Chaco For Ever,Defensores
,32,Acassuso,Bolivar
,32,San Telmo,Alte. Brown
,32,San Miguel,CA Mitre
,32,Colón,Estudiantes (Caseros)
,32,Morón,All Boys
,32,Godoy Cruz,Los Andes
,32,Temperley,Gimnasia (J)
,32,Chicago,Maipú
,32,San Martín,Almagro
,32,Chacarita,Patronato
,32,Güemes,Colegiales
,32,Tristan Suárez,Quilmes
,32,Agropecuario,Midland
,32,Atlético Rafaela,Atlanta
,32,San Martín (T),Gimnasia y Tiro
,33,Racing (Cba),Los Andes
,33,All Boys,Godoy Cruz
,33,Estudiantes (Caseros),Morón
,33,CA Mitre,Colón
,33,Alte. Brown,San Miguel
,33,Bolivar,San Telmo
,33,Defensores,Acassuso
,33,Dep. Madryn,Chaco For Ever
,33,Central Norte,Ferro
,33,Gimnasia (J),Gimnasia y Tiro
,33,Atlanta,San Martín (T)
,33,Midland,Atlético Rafaela
,33,Quilmes,Agropecuario
,33,Colegiales,Tristan Suárez
,33,Patronato,Güemes
,33,Almagro,Chacarita
,33,Maipú,San Martín
,33,Temperley,Chicago
,34,Ferro,Racing (Cba)
,34,Chaco For Ever,Central Norte
,34,Acassuso,Dep. Madryn
,34,San Telmo,Defensores
,34,San Miguel,Bolivar
,34,Colón,Alte. Brown
,34,Morón,CA Mitre
,34,Godoy Cruz,Estudiantes (Caseros)
,34,Los Andes,All Boys
,34,Chicago,Gimnasia (J)
,34,San Martín,Temperley
,34,Chacarita,Maipú
,34,Güemes,Almagro
,34,Tristan Suárez,Patronato
,34,Agropecuario,Colegiales
,34,Atlético Rafaela,Quilmes
,34,San Martín (T),Midland
,34,Gimnasia y Tiro,Atlanta
,35,Racing (Cba),All Boys
,35,Estudiantes (Caseros),Los Andes
,35,CA Mitre,Godoy Cruz
,35,Alte. Brown,Morón
,35,Bolivar,Colón
,35,Defensores,San Miguel
,35,Dep. Madryn,San Telmo
,35,Central Norte,Acassuso
,35,Ferro,Chaco For Ever
,35,Gimnasia (J),Atlanta
,35,Midland,Gimnasia y Tiro
,35,Quilmes,San Martín (T)
,35,Colegiales,Atlético Rafaela
,35,Patronato,Agropecuario
,35,Almagro,Tristan Suárez
,35,Maipú,Güemes
,35,Temperley,Chacarita
,35,Chicago,San Martín
,36,Chaco For Ever,Racing (Cba)
,36,Acassuso,Ferro
,36,San Telmo,Central Norte
,36,San Miguel,Dep. Madryn
,36,Colón,Defensores
,36,Morón,Bolivar
,36,Godoy Cruz,Alte. Brown
,36,Los Andes,CA Mitre
,36,All Boys,Estudiantes (Caseros)
,36,San Martín,Gimnasia (J)
,36,Chacarita,Chicago
,36,Güemes,Temperley
,36,Tristan Suárez,Maipú
,36,Agropecuario,Almagro
,36,Atlético Rafaela,Patronato
,36,San Martín (T),Colegiales
,36,Gimnasia y Tiro,Quilmes
,36,Atlanta,Midland
